id,sentences,label
1308,shoukry je ukratko zauzeo diskurs političkog jastreba i poručio da hrvatska svoje granice od migranata mora štititi i vojskom,1
1309,tvrdi da migranti imaju veliko strahopoštovanje prema vojsci “kada vide da vojska stoji uz policiju na granici znat će da je hrvatska odlučna u svojoj odluci i da neće dozvoliti prelazak ilegalnih migranata”,0
1310,čvrsti stav mosta prema migrantima za magazin je objasnio politički tajnik stranke nikola grmoja,1
1311,i dalje smatram da svim ljudima koji se zateknu u hrvatskoj trebamo pomoći,0
1312,ali okolnosti su se od 2015 naovamo promijenile,0
1313,mi smo tada bili zemlja otvorenih granica na tranzitnoj ruti,1
1314,njemačka i druge europske zemlje primale su sve te ljude koji su slobodno prolazili kroz hrvatsku a sad su praktički sve europske države zatvorile svoje granice,1
1315,ni njemačka ih više ne prima u većem broju,1
1316,od tada se također promijenio i nacionalni sastav migranata,0
1317,prije smo imali velik udio ljudi iz ratom zahvaćene sirije,0
1318,s tom činjenicom nizar shoukry dobro je upoznat jer je 2015 u tovarniku upravljano cijelom tom krizom,0
1319,danas gotovo da i nema nikoga iz sirije jer su se tadašnji izbjeglice počeli vraćati u tu zemlju,1
1320,asad je zavladao većinom teritorija i ondje su prestale ratne operacije,0
1321,danas hrvatsku granicu većinom prelaze ljudi iz pakistana sjeverne afrike i magreba te afganistana,1
1322,radi se o ekonomskim migrantima,1
1323,angela merkel ih je pozvala ti ljudi i dalje dolaze jer taj poziv još osjećaju aktualnim a svi smo svjesni da sve te ljude europa više neće i ne može primiti,1
1324,tako da je hrvatska sada u nezgodnoj situaciji,0
1325,mi moramo ono što je nizar i predložio sve te migrante legitimirati moramo znati tko su oni i zašto žele prijeći granicu  kaže grmoja,0
1326,tvrdi da most nema ništa protiv migranata koji žele zatražiti azil u hrvatskoj,0
1327,mi nemamo problem s osobama koje se legitimiraju i zatraže azil u hrvatskoj,0
1328,nama je problem ono što se trenutačno događa  probijanje granica,1
1329,znači našu granicu prelaze ljudi za koje ne znamo tko su i jesu li sudjelovali možda u nekim operacijama,0
1330,vidi se kako policija praktički više ne može izdržati pritisak migranata i zato je shoukry predložio vojsku,1
1331,ne da dođu s tenkovima kao što se piše nego da policiji pomognu s dronovima termokamerama i ljudstvom,0
1332,smatramo da bi to bila jaka taktika odvraćanja,1
1333,migranti sada ilegalno idu preko hrvatske jer smo mi najporozniji  tvrdi politički tajnik mosta,1
1334,podsjeća kako je mogućnost da se vojska na poziv policije priključi poslovima nadzora granice svojom odlukom otvorila vlada tihomira oreškovića još 2016 godine,1
1335,odgovornost je na vladi ona treba procijeniti može li policija sama štititi granice,0
1336,trebamo zaustaviti ilegalne prelaske granice,0
1337,moramo biti suverena država  kaže grmoja,0
1338,upozorio je sve građane i političare koje je posebno pozvao na odgovornost da ne nasjedaju i ne šire lažne vijesti o migrantima poput onih za navodne zločine i kaznena djela koje čine pri prolasku kroz hrvatsku,1
1339,posebno je opasno širiti laži o navodnom masovnom medijskom zataškavanju kriminalnih djela koja su navodno počinili migranti,1
1340,nedavno se društvenim mrežama proširila lažna vijest da su migranti silovali djevojku u lici,0
1341,pa zar doista netko misli da za to ne bi nitko saznao da se stvarno i dogodilo,0
1342,i političare i građane pozivam na kritičko promišljanje da svaku vijest odvažu provjere da ne nasjedaju na takve stvari,1
1343,treba ostati sabran,0
1344,nisu svi migranti opasni,0
1345,uostalom s obzirom na trendove s tržišta rada hrvatska će uskoro morati razviti strategiju useljavanja kakvi su nam ljudi potrebni koliko koja zanimanja to ćemo morati učiniti ako želimo da hrvatska uopće opstane da se ne slomi mirovinski sustav,1
1346,ali s druge strane treba biti racionalan i svjestan da svaka ozbiljna država štiti svoje granice i da ne možete ljude bez dokumenata propuštati na svoj teritorij,1
1347,moramo štititi svoje interese,0
1348,kao što to uostalom čine i sve druge zemlje u europi  zaključio je,1
1349,na sve veću opasnost od širenja lažnih vijesti o migrantima i početak stvaranja antimigrantske histerije upozorava i tajana tadić iz udruge are you syrious,1
1350,najveća promjena koju možemo uočiti između današnjeg i vala iz 2015 je da se u političkom kontekstu dogodio zaokret ka diskursu sekuritizacije te su ljudi koji su u europu došli potražiti utočište interpretirani kao ugroza,1
1351,izrazito je teško promatrati promjenu koja se dogodila od 2015 do sada i kako smo se od društva solidarnosti gotovo preko noći premetnuli u društvo paralizirano strahom koje gotovo prešutno odobrava pojačanu represiju prema tražiteljima azila i migrantima,1
1352,tzv fake news ovdje igra veliku ulogu a histeriju koju je stvorio u zadnje vrijeme zaista je mučno gledati,0
1353,nedavno je društvenim mrežama kružio videouradak koji navodi kako deseci tisuća ratno spremnih ljudi u bosni samo čekaju kako bi izvršili invaziju na europu  u prvim sam sekundama tog videa koji tvrdi da je iz 2018 prepoznala mjesto u sloveniji na kojem sam volontirala 2015 godine,1
1354,voljela bih da se kolektivno odupremo nekritičkom vjerovanju i dijeljenju informacija s društvenih mreža ili kvaziinformativnih portala čiji izvori nisu provjereni  tvrdi tadić,1
1355,jedan od čestih “dokaza” da su migranti opasni za društvo za desne ekstremiste je navodna izravna korelacija priljeva migranata i porasta stope kriminaliteta u nekoj državi,0
1356,u hrvatskoj je najekstremniji primjer bila lažna tvrdnja ivana pernara da je u njemačkoj otkako su masovno došli migranti deset puta porastao broj ljudi izbodenih nožem,1
1357,istina je međutim upravo suprotna,0
1358,iako je tijekom 2015 2016 i 2017 godine u njemačku došlo najmanje 136 milijuna migranata lani je prema službenim podacima broj kaznenih djela pao čak 10 posto u odnosu na godinu prije i najveći je međugodišnji pad stope kriminala u posljednjih 25 godina,1
1359,novinar deutsche wellea zoran arbutina u razgovoru za magazin objašnjava kako se migrante koliko god se neki trude selektivno prezentirati statističke podatke ne može dovesti u vezu s njihovom navodnom sklonošću većem kriminalitetu,1
1360,prema službenim vladinim podacima za 2017 stranci  svi ljudi koji žive u njemačkoj a nemaju njemačko državljanstvo  počinili su jednu trećinu svih džeparenja jednu desetinu svih provala 159 posto silovanja i seksualnih uznemiravanja 152 posto nanošenja teških tjelesnih ozljeda i 151 posto svih pljački i krađa,0
1361,što otprilike odgovara i njihovu udjelu u ukupnom broju stanovnika,1
1362,naime stranci u njemačkoj čine oko 15 posto stanovništva  tvrdi arbutina,0
1363,dakle njemačke službene statistike upućuju na nepostojanje veze između porasta broja migranata u toj zemlji i porasta broja kaznenih djela,1
1364,nakon što su pola sata proveli na mjestu pokraj ceste pored grančnog prijalaz šid migranti su negdje oko 1520 sati ponovno odlučili otići,0
1365,no ovaj puta nisu kukurizištem krenuli prema hrvatskoj nego su krenuli uzdužno po njivi u smjeru šida,0
1366,tim putem ih prati srpska policija dok hrvatski policajci to promatraju s naše strane granice,0
1367,migranti su kako doznajemo krenuli prema željezničkoj stanici u šidu gdje će se ukrcati na vlak koji će i vratiti u beograd,0
1368,nakon što su gotovo pola sata neuspješno pokušavali ući u hrvatsku migranti se u ovom trenutku vraćaju s ničije zemlje prema cesti ispred graničnog prijelaza šid,1
1369,hrvatska policija koja se u velikom broju grupirala na ulazu u našu zemlju nije im dopustila da prijeđu granicu,1
1370,vidjevši pendreke za remenima hrvatskih policajaca migranti su shvatili da im je svaki pokušaj nasilnog ulaska u hrvatsku uzaludan te su se odlučili vratiti na početni punkt,0
1371,nešto iza 14 sati skupina oko 130 izbjeglica iz afganistana i pakistana koji od nedjelju ujutro stoje na graničnom prijelazu šid s namjerom da uđu u hrvatsku odlučila je probiti barikadu srpske policije te su prvo krenuli rušiti ogradu što su policajci odbili i vratili ih nazad ali su se oni spustili na njivu i preko nje potrčali prema hrvatskoj,0
1372,tamo su ih pak dočekali srpski policajci koji su se raširili u kordon i ne dopuštaju im ulazak u našu zemlju prilikom čega je došlo do kratkog naguravanja,1
1373,u ovom trenutku je na graničnom prijelazu između šida i tovarnika svojevrsna pat pozicija a na našoj strani granice čeka desetak policijskih marica spremnih da migrante posjednu u njih,1
1374,oko 150 migranata iz afganistana i pakistana koji su u petak pješice krenuli iz beograda prema hrvatskoj stigli su do sedamdesetak kilometara od granice a neki su se zbog umora i iscrpljenosti vratili u srbijanski glavni grad javila je u subotu radiotelevizija srbije,0
1375,hodajući po autocesti beogradzagreb stigli su do postaja za napalatu cestarine šimanovci oko sedamdeset kilometara od graničnog prijelaza batrovcibajakovo,0
1376,u skupini su uglavnom muškarci koji nose transparente s porukama molimo vas otvorite granicustop ratu i ne više rata,0
1377,mediji prenose da im je odredište italija i francuska a ne njemačka i da će na granici s hrvatskom čekati sve dok se ne otvori za prolaz,1
1378,srbijanski ministar rada i socijalne skrbi aleksandar vulin izjavio je da migranti imaju pravo kretati se teritorijem srbije 72 sata ali nemaju pravo blokirati ceste promet i granicu,0
1379,imaju pravo ako su im dokumenti takvi kretati se po našoj zemlji 72 sata ali nemaju pravo blokirati granicu promet i nemaju pravo mijenjati svakodnevni život naših građana rekao je vulin novinarima i naglasio da će se srbija dok su na njezinu teritoriju prema migrantima i izbjeglicama ponašati po najvišim svjetskim standardima humano ljudski,1
1380,istaknuo je kako migrantima nitko ne smije davati lažnu nadu da će riješiti problem time što će doći na neki granični prijelaz,1
1381,svi dobro znaju da neće jer nisu otvorili prijelaze na horgošu kelebiji batrovcima europa neće prihvaćati ekonomske migrante iz afganistana i pakistana istaknuo je ministar vulin,1
1382,migranti su pješice krenuli ka hrvatskoj jer imaju pogrešne informacije da će ih pustiti da prijeđu granicu i uđu u eu izjavio je u petak glasnogovornik povjerenstva za migrante i izbjeglice ivan mišković naglašavajući kako to nije način da migranti uđu ni u jednu zemlju niti će ih tako bilo tko pustiti da uđu u eu,1
1383,šef predstavništva unhcra u srbiji hans fridrch schoder izjavio je ranije ovog tjedna da je samo 50 do 60 izbjeglica tijekom migrantske krize odlučilo ostati i živjeti u srbiji i sada im treba dati mogućnost da pridonesu srpskom društvu,0
1384,nastavljamo dijalog o mogućnostima koje su izbjeglicama na raspolaganju rekao je schoder na okruglom stolu srbija od zemlje tranzita do zemlje destinacije naglasivši da srbija u tom pogledu ima jasne zakone i prihvaćene standarde za pridruživanju eu te će unhcr nastojati s partnerima poduprijeti te napore srbije,1
1385,svega 150 metara od glavnog ulaza u zgradu ministarstva unutarnjih poslova točnije na križanju zagrebačkih naselja vrbik martinovka i trešnjevka sinoć oko 22 sata zalutalo je više migranata,0
1386,o ilegalcima su policiju obavijestili građani koji su ih vidjeli kako se kreću u skupini a na njihovim licima iščitavao se umor,1
1387,ubrzo je nekoliko policijskih vozila stiglo na frekventno raskrižje gdje su mladi stranci kako se može vidjeti na fotografijama koje nam je ustupio čitatelj strpljivo čekali daljnje policijske korake sjedeći na ogradi tramvajskog stajališta,1
1388,tramvaji su i dalje prolazili građani su ih promatrali iz vozila baš kao i pješaci,0
1389,odakle su ti mladići došli kojim putem koliko su novca platili krijumčaru i kuda su dalje namjeravali otići ostaje nepoznanica,1
1390,jedino što je sigurno kako su nam rekli iz pu zagrebačke je da je protiv tih osoba pokrenut postupak povratka sukladno zakonu u strancima,0
1391,sinoć oko 22 sata u ulici grada vukovara na temelju dojave građana policijski službenici zatekli su više stranaca koji su nezakonito ušli i nezakonito borave u rh,0
1392,u vezi istih je pokrenut postupak povrata sukladno zakonu o strancima – odgovorili su na naš upit iz zagrebačke policije,0
1393,inače ovo nije izolirani slučaj da se stranci nezakonito šeću metropolom,1
1394,naime 10 rujna predvečer u novozagrebačkom botincu u jednom dvorištu u botinečkoj ulici zatečena su dva ilegalca,0
1395,kod sebe kako su nam rekli iz pu zagrebačke nisu imali nikakve dokumente pa su odvedeni na kriminalističko istraživanje kako bi se između ostaloga utvrdile i okolnosti njihova ulaska u rh,1
1396,premijer tihomir orešković  kako je jutarnjem jučer izjavio jedan dobro upućen sugovornik  ostao je prilično iznenađen reakcijom ministrice rada nade šikić u javnom dijelu ovotjedne sjednice vlade,0
1397,gledajte to je zaista bilo neprimjereno  rekao nam je taj sugovornik prenoseći reakciju premijera,1
1398,nije bilo ni vrijeme ni mjesto za to,0
1399,imali su dovoljno vremena da daju neke svoje prijedloge ako im se nije sviđao onaj ministrice jurlina,0
1400,a ovo samo ruši povjerenje među partnerima,1
1401,zadnje što nam treba jest da se ovakve priče vrte po medijima,1
1402,podsjetimo na sjednici vlade u srijedu hdzova ministrica rada i mirovinskog sustava nada šikić prozvala je svoju kolegicu iz mosta ministricu uprave dubravku jurlina alibegović da se zbog nje izglasava nepotrebna i populistička odluka o ukidanju određenih beneficija državnim dužnosnicima,0
1403,ta prozivka na sjednici vlade posljednji je u nizu primjera loših odnosa koji destabiliziraju rad vlade i umanjuju izglede za provođenje najavljivanih reformi,1
1404,inače ove dvije ministrice  upozoravaju izvori  morale bi tijesno surađivati jer su obje voditeljice radnih skupina za reformu javne uprave a nakon ovakvih ispada malo tko može zamisliti dobru i konstruktivnu suradnju,1
1405,ministrica rada koja se u ova tri mjeseca nije osobito istaknula osim možda izjavom da joj nije potpuno jasno kako se puni državni proračun sada javno napada kolegicu u vladi jer je napisala zakon kojim bi se u državnom proračunu uštedjelo 40ak milijuna kuna,1
1406,sve napetiji odnosi između hdza mosta i tihomira oreškovića naveli su i samog premijera da pošalje poruku kako tako dalje ne može,1
1407,orešković će  kažu nam upućeni izvori  od dvojice potpredsjednika vlade tomislava karamarka i bože petrova tražiti punu podršku za provedbu reformi koje upravo pripremaju u njegovu kabinetu a namjerava uložiti dodatne napore u inicijativi da se normaliziraju odnosi između dvojice potpredsjednika jer prema neslužbenim informacijama čelnici hdza i mosta u zadnje vrijeme gotovo uopće ne komuniciraju,1
1408,iako neki tvrde da se čuju telefonski,0
1409,očito je to i iz zadnje svađe kad je petrov prozvao karamarka zbog prijateljstva s molovim konzultantom josipom petrovićem koji se s ivom sanaderom pojavio kao svjedok u arbitražnom postupku hrvatske s molom u londonu,1
1410,petrov je  opisuju nam neki njemu bliski suradnici  bio isprovociran stalnim neslužbenim informacijama iz vrha hdza da se sprema rekonstrukcija vlade “rastava braka” s oreškovićem te preslagivanje saborske većine kojim bi se eliminiralo most,1
1411,okidač za njegov prvi otvoreni napad na karamarka bila je izjava milana bandića da je s predsjednikom hdza već razgovarao o preslagivanju isti je dan i josipa rimac govorila o zamjeni partnera a sve to događalo se u vrijeme kad se održavao uži kabinet vlade na kojem su dvojica potpredsjednika i premijer trebali razgovarati o nacionalnom programu reformi,1
1412,na tom kabinetu kažu sugovornici odluke se ne donose preglasavanjem nego konsenzusom stoga je nejasno zašto je ministrica šikić odlučila otvoreno kritizirati vladinu odluku vjerojatno kako smatraju mnogi u hdzu uz potporu vrha stranke čime je otvorila još jednu frontu prema mostu,1
1413,premijer ne može biti vatrogasac i svakodnevno gasiti vatru,1
1414,s dvojicom potpredsjednika još nije razgovarao ali će napraviti sve da se komunikacija među njima poboljša  rekao nam je jučer jedan dobro upućen sugovornik,0
1415,isti izvor dodaje kako je pozicija premijera takva da on želi provesti reforme a za to mora imati stabilnu vladu a ne da karamarko i petrov potkopavaju vladu u kojoj sjede,1
1416,nadam se da će se ti odnosi što prije poboljšati,0
1417,premijer ne može pristati na to da u javnosti vlada dojam kako se vlada ne snalazi a on sam priprema reforme vjerujte dan i noć,1
1418,neki odnosi u društvu ne mogu se popraviti preko noći i to mu je jasno ali odlučan je da provede ovaj plan do kraja  kaže nam jedan dobro upoznat izvor s markova trga,1
1419,premijer se nada da će petrov i karamarko ipak izgladiti odnose jer njihove trzavice opterećuju vladu,1
1420,u prva tri mjeseca odrađivale su se kadrovske stvari koje također nisu do kraja završene,0
1421,kukuriku vladi trebale su tri godine da počne raditi,0
1422,premijer se nada da su ova tri mjeseca koaliciji bila dovoljna da se sada napokon krene s reformama  poručuju izvori,1
1423,kad je riječ o ini premijer je tu na strani mosta i bože petrova,1
1424,smatra da arbitraža ide u dobrom smjeru upoznat je s detaljima postupka nije mu jasna moguća veza mola s hdzovim šefom,1
1425,njegov je jedini cilj zaštititi inu kao kompaniju od nacionalnog interesa  kažu nam izvori,1
1426,božo petrov jučer je izjavio da od svojih stajališta u vezi s inom neće odstupiti,1
1427,o tome je i jučer razgovarao s tomislavom karamarkom,0
1428,"na pitanje je li se smirio petrov je rekao

 ponovit ću što sam rekao prije dva dana",0
1429,za mene je ina strateški interes i po svaku cijenu ga se treba očuvati i vjerujem da svi članovi vlade rade na isti način i u istome smjeru,1
1430,na pitanje je li koalicija stabilna petrov je odgovorio da jest a o ogorčenosti premijera zbog nesuglasica u vladi rekao je “nadam se da će biti bolje”,1
1431,karamarko se taj dan tvrde nam dva izvora uopće nije pojavio na užem kabinetu pa je moguće i to dodatno isprovociralo petrova,1
1432,iz hdza pak nisu htjeli komentirati odnose u vladi niti su nam odgovorili zašto karamarko nije bio na užem kabinetu na kojem se dogovaraju odluke koje dolaze na sjednicu vlade upravo kako bi se spriječile situacije poput one s ministricom šikić,1
1433,premijer nije lagao kada je u srijedu rekao kako sutra ima jako zanimljivu sjednicu vlade da sve zna ali nam ne može reći,0
1434,andrej plenković potrudio se doista tu jučerašnju sjednicu napraviti jako jako zanimljivom,0
1435,tri ruke u zraku mostovih ministara koji su glasali protiv vladinog pozitivnog mišljenja o zdravku mariću bile su povod za dosad neviđeni politički blitzkrieg,1
1436,premijer gotovo da nije ni trepnuo kada je naložio molim tajnicu vlade da pripremi odluku o razrješenju trojice ministara,1
1437,u novinarskoj sobi u banskim dvorima nastao je opći kaos,1
1438,nastavljamo sjednicu vlade mirno je dodao plenković,0
1439,usput je opalio i po oporbi pa je tako odgovarajući na njihov zahtjev za smjenom marića rekao da se njihov doprinos svodi na selfije i reklamiranje kiselog zelja a da je odgovornost njegove vlade po pitanju agrokora puno veća i ozbiljnija te da se nikad ne bi uputio u politikantstvo u tako ozbiljnoj situaciji,1
1440,dva sata su novinari potom čekali da završi sjednica vlade i da se premijer nakon sastanka s europskom povjerenicom obrati medijima,0
1441,prije njega u saboru je govorio božo petrov koji je upozorio da mu treba njegov supotpis za smjenu ministara,0
1442,svi su napeto iščekivali idemo li na izbore ili će se pak hdz presložiti u saboru,1
1443,u vladi su viđeni i zamjenik predsjednika stranke milijan brkić,0
1444,bio je tu i božidar kalmeta sreli smo i riječkog gradonačelnika vojka obersnela te međimurskog župana matiju posavca,0
1445,oni su tu bili kako bi potpisali ugovore za svoje lokalne sredine s ministricom gabrijelom žalac oko fondova eu a dok smo čekali premijera da se obrati javnosti u šali su se postavljala pitanje tko su novi ministri,1
1446,jedan od bliskih premijerovih suradnika odmah nakon sjednice vlade poručio je sve ovo što se danas dogodilo bilo je isprovocirano reakcijom mosta,0
1447,odluku da tako reagira premijer je donio na samoj sjednici kada je vidio kako su glasali mostovi ministri,1
1448,u premijerovu kabinetu bilo je u toku jučerašnjeg dana burno ali sam premijer nije iskazivao znakove nervoze,1
1449,dan prije sjednice nismo imali informacije od mostovih ministara kako će glasati,0
1450,premijer je naprosto bio prisiljen na takvu odluku,0
1451,kada smo premijerove suradnike upitali što dalje odgovor je glasio vlada će nastaviti s radom,1
1452,na pitanje očekuje li krug oko plenkovića da će u tome sudjelovati i most odgovor je bio kratak  teško,1
1453,u banskim dvorima redali su se sastanci jedan za drugim,1
1454,poslije ove premijerove odluke koliko znam plenković i petrov se više nisu ni čuli kaže naš sugovornik i naglašava da ministri koje je premijer smijenio nemaju status tehničkih ministara,0
1455,zašto bi trebao bilo čiji potpis osim premijerova za njihovu smjenu,0
1456,pa nisu oni šefovi tajnih službi,0
